file name,visibility,x-coordinate,y-coordinate,status,shot,image_data,game,clip,shot 
0000.jpg,1,602,106,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 18  16  15]
  [ 19  17  16]
  [ 20  18  17]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 19  17  16]
  [ 20  18  17]
  [ 21  19  18]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 15  13  12]
  [ 16  14  13]
  [ 18  16  15]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0001.jpg,1,603,109,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 18  16  15]
  [ 19  17  16]
  [ 20  18  17]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 19  17  16]
  [ 20  18  17]
  [ 21  19  18]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 15  13  12]
  [ 16  14  13]
  [ 18  16  15]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0002.jpg,1,604,115,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 18  16  15]
  [ 19  17  16]
  [ 20  18  17]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 19  17  16]
  [ 20  18  17]
  [ 21  19  18]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 15  13  12]
  [ 16  14  13]
  [ 18  16  15]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0003.jpg,1,604,120,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0004.jpg,1,605,125,1,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0005.jpg,2,624,143,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0006.jpg,1,643,163,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0007.jpg,1,662,184,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0008.jpg,1,682,202,0,0.0,"[[[  9  10   8]
  [  9  10   8]
  [  9  10   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[  8   9   7]
  [  8   9   7]
  [  8   9   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 76 103 167]
  [ 75 102 166]
  [ 75 102 166]]]",8,1,
0009.jpg,1,702,228,0,0.0,"[[[ 11   9   8]
  [ 11   9   8]
  [ 11   9   8]
  ...
  [ 12  10   9]
  [ 15  13  12]
  [ 18  16  15]]

 [[ 10   8   7]
  [ 10   8   7]
  [ 10   8   7]
  ...
  [ 13  11  10]
  [ 15  13  12]
  [ 18  16  15]]

 [[ 10   8   7]
  [ 10   8   7]
  [ 10   8   7]
  ...
  [ 13  11  10]
  [ 16  14  13]
  [ 19  17  16]]

 ...

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 74 102 163]
  [ 73 101 162]
  [ 73 101 162]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 74 102 163]
  [ 73 101 162]
  [ 73 101 162]]

 [[ 90 115 149]
  [ 88 113 153]
  [ 83 110 161]
  ...
  [ 74 102 163]
  [ 73 101 162]
  [ 73 101 162]]]",8,1,
